Iteratie: 1
Epoca 0: tensor(1.9191, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7562, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6699, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6233, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.5964, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.5829, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5741, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5647, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5596, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5543, grad_fn=<DivBackward0>)
Iteratie: 43
Epoca 0: tensor(1.9327, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7503, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6720, grad_fn=<DivBackward0>)
Epoca 3: tensor(1.6212, grad_fn=<DivBackward0>)
Epoca 4: tensor(1.6017, grad_fn=<DivBackward0>)
Epoca 5: tensor(1.6002, grad_fn=<DivBackward0>)
Epoca 6: tensor(1.5772, grad_fn=<DivBackward0>)
Epoca 7: tensor(1.5649, grad_fn=<DivBackward0>)
Epoca 8: tensor(1.5555, grad_fn=<DivBackward0>)
Epoca 9: tensor(1.5509, grad_fn=<DivBackward0>)
Iteratie: 44
Epoca 0: tensor(1.8555, grad_fn=<DivBackward0>)
Epoca 1: tensor(1.7265, grad_fn=<DivBackward0>)
Epoca 2: tensor(1.6467, grad_fn=<DivBackward0>)
